ENTRYID	form	gloss	CONCEPTICON_GLOSS	CONCEPTICON_ID	gfn	language	source	srcid	note
182917	a³³ tɕiaŋ⁵³	top	ABOVE	1741	1431	Puroik	ZMYYC		
230959	mə³³ ləŋ³³	all / even	ALL	98	1431	Puroik	ZMYYC		
188017	gɹæn³³ gɹo⁵³	ant	ANT	587	1431	Puroik	ZMYYC		
193525	pua³³ kə³³ jo⁵³	armpit	ARMPIT	1886	1431	Puroik	ZMYYC		
223921	ba³³ niaŋ¹¹	bad	BAD	1292	1431	Puroik	ZMYYC		
189343	mə³³ tə³³	bamboo	BAMBOO	1927	1431	Puroik	ZMYYC		
219841	a³³ ɕik³³	alive	BE ALIVE	1422	1431	Puroik	ZMYYC		
193270	θui³³	belly	BELLY	1251	1431	Puroik	ZMYYC		
182968	a³³ ɣua¹¹	underneath	BELOW OR UNDER	1485	1431	Puroik	ZMYYC		
220810	a³³ bua³³	big	BIG	1202	1431	Puroik	ZMYYC		
187252	pə³³ tu³³	bird	BIRD	937	1431	Puroik	ZMYYC		
207295	tua⁵³	bite	BITE	1403	1431	Puroik	ZMYYC		
222901	a³³ ɦiɛ⁵³	black	BLACK	163	1431	Puroik	ZMYYC		
193678	hue⁵³	blood	BLOOD	946	1431	Puroik	ZMYYC		
218413	huȶ³³	blow (of wind)	BLOW (OF WIND)	175	1431	Puroik	ZMYYC		
191485	heʴn³³chəʴ	branch	BRANCH	1531	1431	Puroik	ZMYYC		
193219	a³³ niɛ¹¹	breast	BREAST	1402	1431	Puroik	ZMYYC		
211426	vɛʴ³³	buy	BUY	1869	1431	Puroik	ZMYYC		
207346	we³³	chew	CHEW	321	1431	Puroik	ZMYYC		
195055	a³³ dʑiaŋ³³	child	CHILD (YOUNG HUMAN)	1304	1431	Puroik	ZMYYC		
188884	a³³ læ³³	claw	CLAW OR NAIL	2128	1431	Puroik	ZMYYC		
180316	kə³³ tɯ³³	cloud	CLOUD	1489	1431	Puroik	ZMYYC		
225094	a³³ ɣɯək³³	cold	COLD	1287	1431	Puroik	ZMYYC		
217597	u³³	come	COME	1446	1431	Puroik	ZMYYC		
211528	gɛʴ⁵³	count	COUNT	1420	1431	Puroik	ZMYYC		
222544	a³³ ciȶ³³	dark	DARK	706	1431	Puroik	ZMYYC		
197350	a³³ du³³ mui⁵³	daughter	DAUGHTER	1357	1431	Puroik	ZMYYC		
180724	a³³ vɯ³³	dew	DEW	1977	1431	Puroik	ZMYYC		
219790	ji³³	die	DIE	1494	1431	Puroik	ZMYYC		
210457	bɹo⁵³	dig	DIG	1418	1431	Puroik	ZMYYC		
223564	chə³³ chɛʴ⁵³	dirty	DIRTY	1230	1431	Puroik	ZMYYC		
186079	boh⁵³	dog	DOG	2009	1431	Puroik	ZMYYC		
206479	mə³³ bak³³	dream	DREAM	2374	1431	Puroik	ZMYYC		
207244	rin³³	drink	DRINK	1401	1431	Puroik	ZMYYC		
224074	a³³ vəʴȶ³³	dry	DRY	1398	1431	Puroik	ZMYYC		
209590	dza³³	dwell / live	DWELL (LIVE, RESIDE)	363	1431	Puroik	ZMYYC		
192301	a³³ kuȶ³³	ear	EAR	1247	1431	Puroik	ZMYYC		
224482	a³³ pɹəʴ⁵³	early	EARLY	672	1431	Puroik	ZMYYC		
181591	mə³³ ɟɛ⁵³	earth	EARTH (SOIL)	1228	1431	Puroik	ZMYYC		
188476	pə³³ chɹei⁵³	earthworm	EARTHWORM	2350	1431	Puroik	ZMYYC		
