ID	CONCEPT	CONCEPTICON_GLOSS	CONCEPTICON_ID	PARAMETER_ID	CONCEPTICON_ID	DOCULECT	VALUE	FORM	SOURCE	NOTES
1	101_ifirstpersonsingular	I [first person singular]	1209	101_ifirstpersonsingular	1209	Mama Cuona Menba	ŋe35		LS2002	
2	11_big	big	1202	11_big	1202	Mama Cuona Menba	then55po53		LS2002	
3	14_black	black	163	14_black	163	Mama Cuona Menba	plɛː35kan55		LS2002	
4	26_coldoftemperature	cold (of temperature)	1287	26_coldoftemperature	1287	Mama Cuona Menba	chek53pa53		LS2002	
5	36_dirty	dirty	1230	36_dirty	1230	Mama Cuona Menba	bɔk35po53		LS2002	
6	40_dry	dry	1398	40_dry	1398	Mama Cuona Menba	cem55pha53		LS2002	
7	48_eight	eight	1705	48_eight	1705	Mama Cuona Menba	cen35		LS2002	
8	50_far	far	1406	50_far	1406	Mama Cuona Menba	thaʔ53riŋ35po53		LS2002	
9	57_five	five	493	57_five	493	Mama Cuona Menba	le31ŋe53		LS2002	
10	67_four	four	1500	67_four	1500	Mama Cuona Menba	pli53		LS2002	
11	73_full	full	1429	73_full	1429	Mama Cuona Menba				
12	76_good	good	1035	76_good	1035	Mama Cuona Menba	li35khu31		LS2002	
13	78_green	green	1425	78_green	1425	Mama Cuona Menba	dʑaŋ35ku53		LS2002	
14	82_hard	hard	1884	82_hard	1884	Mama Cuona Menba	ʂa55po53		LS2002	
15	83_heorshethirdpersonsingular	he or she [third person singular]	262	83_heorshethirdpersonsingular	262	Mama Cuona Menba	pe35		LS2002	
16	87_heavy	heavy	1210	87_heavy	1210	Mama Cuona Menba	li55po53		LS2002	
17	96_hot	hot	1286	96_hot	1286	Mama Cuona Menba	tshe55po53		LS2002	
18	103_inside	inside	1606	103_inside	1606	Mama Cuona Menba	neŋ35		LS2002	
19	110_late	late	477	110_late	477	Mama Cuona Menba	jyt35po53		LS2002	
20	114_left	left	244	114_left	244	Mama Cuona Menba	jøn55ma53		LS2002	
21	117_lightofweight	light (of weight)	1052	117_lightofweight	1052	Mama Cuona Menba	jaŋ35po53		LS2002	
22	120_long	long	1203	120_long	1203	Mama Cuona Menba	riŋ35ko53		LS2002	
23	124_many	many	1198	124_many	1198	Mama Cuona Menba	maŋ35po53		LS2002	
24	127_middle	middle	1093	127_middle	1093	Mama Cuona Menba	pun35		LS2002	
25	129_morning	morning	1339	129_morning	1339	Mama Cuona Menba	nam55ɕe53		LS2002	
26	139_near	near	1942	139_near	1942	Mama Cuona Menba	thaʔ53len35po53		LS2002	
27	142_new	new	1231	142_new	1231	Mama Cuona Menba	se55ro53		LS2002	
28	143_nine	nine	1483	143_nine	1483	Mama Cuona Menba	tu31ku53		LS2002	
29	148_one	one	1493	148_one	1493	Mama Cuona Menba	theʔ53		LS2002	
30	150_outside	outside	762	150_outside	762	Mama Cuona Menba	tɕhin55		LS2002	
31	158_red	red	156	158_red	156	Mama Cuona Menba	leu55		LS2002	
32	161_right	right	1019	161_right	1019	Mama Cuona Menba	jɛː55pa53		LS2002	
33	166_round	round	1395	166_round	1395	Mama Cuona Menba	chir55mo53		LS2002	
34	175_seven	seven	1704	175_seven	1704	Mama Cuona Menba	nis55		LS2002	
35	176_sharp	sharp	1396	176_sharp	1396	Mama Cuona Menba	tɕhet55po53		LS2002	
36	179_short	short	1645	179_short	1645	Mama Cuona Menba	thuŋ55po53		LS2002	
37	184_six	six	1703	184_six	1703	Mama Cuona Menba	kroʔ35		LS2002	
38	188_small	small	1246	188_small	1246	Mama Cuona Menba	priu53		LS2002	
